"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","10,943.70","10,989.20","11,000.20","10,913.00","119.33M","-0.07%"
"06/27/2024","10,951.50","11,014.00","11,018.90","10,930.90","100.88M","-0.72%"
"06/26/2024","11,030.50","11,154.00","11,170.80","10,985.80","98.07M","-0.80%"
"06/25/2024","11,118.90","11,190.20","11,190.40","11,068.70","94.46M","-0.48%"
"06/24/2024","11,172.10","11,051.10","11,182.60","11,040.10","98.20M","1.27%"
"06/21/2024","11,032.30","11,160.50","11,161.60","10,969.20","271.06M","-1.15%"
"06/20/2024","11,160.50","11,067.60","11,166.40","11,041.50","93.10M","0.94%"
"06/19/2024","11,056.40","11,073.50","11,095.40","11,033.20","103.71M","-0.10%"
"06/18/2024","11,067.70","11,008.90","11,071.10","10,955.80","104.53M","0.99%"
"06/17/2024","10,959.50","11,041.30","11,082.60","10,881.50","117.34M","-0.30%"
"06/14/2024","10,992.30","11,063.00","11,078.10","10,874.10","214.02M","-0.67%"
"06/13/2024","11,066.10","11,213.90","11,241.20","11,049.10","150.31M","-1.59%"
"06/12/2024","11,245.40","11,209.90","11,273.90","11,167.00","138.54M","0.63%"
"06/11/2024","11,175.50","11,376.50","11,378.20","11,113.60","132.15M","-1.60%"
"06/10/2024","11,357.20","11,374.60","11,375.30","11,286.90","104.80M","-0.42%"
"06/07/2024","11,404.90","11,448.20","11,469.90","11,350.70","119.98M","-0.34%"
"06/06/2024","11,444.00","11,386.00","11,450.90","11,357.70","108.48M","0.80%"
"06/05/2024","11,353.10","11,380.30","11,412.40","11,323.60","119.49M","0.59%"
"06/04/2024","11,286.40","11,385.80","11,402.20","11,213.20","198.26M","-0.97%"
"06/03/2024","11,397.20","11,408.40","11,452.90","11,378.00","128.80M","0.66%"
"05/31/2024","11,322.00","11,353.00","11,361.20","11,278.60","714.44M","-0.14%"
"05/30/2024","11,338.20","11,126.50","11,350.90","11,125.30","127.54M","1.73%"
"05/29/2024","11,145.10","11,239.70","11,260.90","11,135.00","121.73M","-1.16%"
"05/28/2024","11,276.00","11,337.90","11,355.10","11,240.00","96.44M","-0.44%"
"05/27/2024","11,325.50","11,260.00","11,325.50","11,248.90","69.18M","0.71%"
"05/24/2024","11,246.00","11,235.90","11,261.60","11,169.20","110.21M","-0.58%"
"05/23/2024","11,311.10","11,332.80","11,360.20","11,277.00","109.14M","-0.16%"
"05/22/2024","11,329.00","11,323.70","11,354.10","11,268.40","123.19M","-0.05%"
"05/21/2024","11,334.90","11,328.20","11,371.30","11,291.50","123.35M","-0.04%"
"05/20/2024","11,339.50","11,332.60","11,371.50","11,312.50","90.52M","0.10%"
"05/17/2024","11,327.70","11,256.00","11,343.00","11,246.60","143.70M","0.25%"
"05/16/2024","11,299.30","11,377.00","11,385.70","11,293.40","141.06M","-0.56%"
"05/15/2024","11,362.80","11,260.90","11,377.10","11,260.30","159.47M","1.10%"
"05/14/2024","11,239.30","11,179.30","11,246.30","11,138.40","137.10M","0.78%"
"05/13/2024","11,152.00","11,104.80","11,152.00","11,073.90","106.34M","0.42%"
"05/10/2024","11,105.50","11,045.70","11,137.70","11,045.10","155.65M","0.50%"
"05/09/2024","11,050.10","11,104.90","11,121.90","11,004.90","212.33M","-0.92%"
"05/08/2024","11,153.00","11,106.00","11,160.00","11,076.10","206.76M","0.65%"
"05/07/2024","11,080.90","10,971.30","11,089.80","10,958.00","206.44M","1.50%"
"05/06/2024","10,917.50","10,878.90","10,945.70","10,847.10","142.16M","0.58%"
"05/03/2024","10,854.70","10,904.90","10,953.30","10,820.50","204.83M","-0.16%"
"05/02/2024","10,872.00","10,854.30","10,920.10","10,845.80","254.70M","0.16%"
"04/30/2024","10,854.40","11,058.30","11,089.80","10,839.40","314.56M","-2.22%"
"04/29/2024","11,100.80","11,181.40","11,228.30","11,057.80","201.55M","-0.48%"
"04/26/2024","11,154.60","11,048.50","11,168.70","11,037.00","188.58M","1.56%"
"04/25/2024","10,983.70","11,048.30","11,095.00","10,887.40","306.29M","-0.40%"
"04/24/2024","11,027.80","11,104.30","11,110.00","11,005.00","138.50M","-0.43%"
"04/23/2024","11,075.40","10,929.40","11,080.00","10,924.30","156.01M","1.70%"
"04/22/2024","10,890.20","10,806.80","10,895.80","10,783.90","140.90M","1.50%"
"04/19/2024","10,729.50","10,681.20","10,747.10","10,611.90","204.55M","-0.33%"
"04/18/2024","10,765.00","10,695.00","10,776.30","10,686.20","164.34M","1.23%"
"04/17/2024","10,633.90","10,531.30","10,704.20","10,530.00","120.12M","1.02%"
"04/16/2024","10,526.90","10,561.40","10,605.50","10,499.20","169.50M","-1.50%"
"04/15/2024","10,687.20","10,670.70","10,750.20","10,660.20","144.07M","0.01%"
"04/12/2024","10,686.00","10,706.50","10,781.60","10,660.70","154.05M","0.34%"
"04/11/2024","10,649.80","10,762.60","10,782.60","10,591.40","183.04M","-1.16%"
"04/10/2024","10,775.00","10,868.20","10,879.20","10,697.40","149.23M","-0.38%"
